block_lgd,dtname,dtcode11,block_name,object_id,max,mean,count,sum
03381,Ganjam,388,PURUSHOTTAMPUR,21-388-03381,0.4854185840725899,0.42065597146214384,225,94.64759357898237
03382,Ganjam,388,RANGEILUNDA,21-388-03382,0.5058921157836914,0.44652722464580924,196,87.51933603057861
03383,Ganjam,388,SANAKHEMUNDI,21-388-03383,0.5076389182806015,0.5046045699093162,307,154.9136029621601
03384,Ganjam,388,SHERAGADA,21-388-03384,0.5076389182806015,0.49253772027515674,103,50.73138518834114
03385,Ganjam,388,SURADA,21-388-03385,0.5076389182806015,0.38980908324348185,895,348.87912950291627
03386,Jagatsinghapur,380,BALIKUDA,21-380-03386,0.5587073754310609,0.4682903000304384,265,124.09692950806618
03387,Jagatsinghapur,380,BIRIDI,21-380-03387,0.5202367807745933,0.4895534581270415,97,47.48668543832302
03388,Jagatsinghapur,380,ERASAMA,21-380-03388,0.5587073754310609,0.39034373256623006,324,126.47136935145855
03389,Jagatsinghapur,380,JAGATSINGHPUR,21-380-03389,0.5202367807745933,0.5164505127221345,164,84.69788408643007
03390,Jagatsinghapur,380,KUJANG,21-380-03390,0.5202367807745933,0.3763532885357368,242,91.0774958256483
03391,Jagatsinghapur,380,NAUGAON,21-380-03391,0.5587073754310609,0.545883843878905,108,58.95545513892174
03392,Jagatsinghapur,380,RAGHUNATHPUR,21-380-03392,0.5202367807745933,0.519362821646369,98,50.89755652134417
03393,Jagatsinghapur,380,TIRTOL,21-380-03393,0.5202367807745933,0.5155324325547949,202,104.13755137606857
03394,Jajapur,382,BADCHANA,21-382-03394,0.404716036939621,0.3705749445990854,331,122.66030666229727
03395,Jajapur,382,BARI,21-382-03395,0.40528286542892455,0.3456544029778983,169,58.41559410326481
03396,Jajapur,382,BINJHARPUR,21-382-03396,0.3395861086845398,0.33936364271397806,157,53.280091906094555
03397,Jajapur,382,DAHRMASALA,21-382-03397,0.38295907135009766,0.36251704251273825,276,100.05470373351575
03398,Jajapur,382,DANAGADI,21-382-03398,0.2826043198108673,0.27390491720352345,334,91.48424234597684
